1	1195	2
2	1320	4
3	1770	6
4	2493	8
5	3405	10
6	4082	12
7	5085	14
8	4851	16
9	3899	18
10	3911	20
11	3328	22
12	3157	24
13	2555	26
14	2407	28
15	2263	30
16	1632	32
17	1347	34
18	1301	36
19	1061	38
20	887	40
21	718	42
22	665	44
23	613	46
24	685	48
25	918	50
26	1217	52
27	1776	54
28	2083	56
29	2792	58
30	3875	60
31	5606	62
32	5944	64
33	3911	66
34	2933	68
35	2418	70
36	1939	72
37	1301	74
38	1095	76
39	922	78
40	867	80
41	648	82
42	558	84
43	558	86
44	710	88
45	1077	90
46	1860	92
47	2812	94
48	4194	96
49	5019	98
50	6573	100
51	7651	102
52	6485	104
53	5446	106
54	4938	108
55	3593	110
56	2261	112
57	2106	114
58	1964	116
59	1751	118
60	1483	120
61	1138	122
62	1023	124
63	922	126
64	827	128
65	616	130
66	533	132
67	612	134
68	973	136
69	1474	138
70	1732	140
71	2470	142
72	3745	144
73	3892	146
74	4582	148
75	4337	150
76	3236	152
77	2894	154
78	2135	156
79	1900	158
80	1626	160
81	1296	162
82	1262	164
83	1033	166
84	767	168
85	555	170
86	554	172
87	464	174
88	633	176
89	851	178
90	1351	180
91	2012	182
92	3364	184
93	5610	186
94	6496	188
95	7359	190
96	6751	192
97	5649	194
98	5098	196
99	4734	198
100	3931	200
101	3743	202
102	3159	204
103	2517	206
104	1924	208
105	1790	210
106	1237	212
107	1182	214
108	921	216
109	837	218
110	464	220
111	430	222
112	457	224
113	729	226
114	967	228
115	1687	230
116	2729	232
117	4117	234
118	5050	236
119	6562	238
120	7293	240
121	5351	242
122	3844	244
123	2296	246
124	2017	248
125	1464	250
126	1209	252
127	1156	254
128	934	256
129	812	258
130	777	260
131	617	262
132	609	264
133	814	266
134	785	268
135	1035	270
136	1658	272
137	2373	274
138	3851	276
139	5146	278
140	5965	280
141	6919	282
142	6593	284
143	6039	286
144	3176	288
145	2289	290
146	2109	292
147	1646	294
148	1255	296
149	1041	298
150	853	300
151	641	302
152	567	304
153	479	306
154	498	308
155	734	310
156	1060	312
157	1783	314
158	2471	316
159	3895	318
160	4992	320
161	7241	322
162	5501	324
163	4319	326
164	2902	328
165	2809	330
166	2179	332
167	2036	334
168	1408	336
169	1180	338
170	938	340
171	778	342
172	565	344
173	491	346
174	468	348
175	432	350
176	716	352
177	1911	354
178	2602	356
179	4760	358
180	5934	360
